,Share_Name,Bilanco_Date,Cari_Oran,Nakit_Oran,Toplam_Yabancı_Kaynaklar_Oz_Kaynaklar_Oranı,Alacak_Devir_Hızı,Aktif_Devir_Hızı,Oz_Varlık_Karlılıgı,Kar_Marjları,Hisse_Bası_Kazanc,Fiyat_Satıs_Oranı,Total
0,AVOD,0,0,0,0,0,0,0,0,0,0,0
1,ACSEL,0,0,0,0,0,0,0,0,0,0,0
2,ADEL,0,0,0,0,0,0,0,0,0,0,0
3,ADESE,0,0,0,0,0,0,0,0,0,0,0
4,AFYON,0,0,0,0,0,0,0,0,0,0,0
5,AGHOL,0,0,0,0,0,0,0,0,0,0,0
6,AKCNS,0,0,0,0,0,0,0,0,0,0,0
7,AKYHO,0,0,0,0,0,0,0,0,0,0,0
8,AKENR,0,0,0,0,0,0,0,0,0,0,0
9,AKFGY,0,0,0,0,0,0,0,0,0,0,0
10,ATEKS,0,0,0,0,0,0,0,0,0,0,0
11,AKSGY,0,0,0,0,0,0,0,0,0,0,0
12,AKMGY,0,0,0,0,0,0,0,0,0,0,0
13,AKSA,0,0,0,0,0,0,0,0,0,0,0
14,AKSEN,0,0,0,0,0,0,0,0,0,0,0
15,AKSUE,0,0,0,0,0,0,0,0,0,0,0
16,ALCAR,0,0,0,0,0,0,0,0,0,0,0
17,ALGYO,0,0,0,0,0,0,0,0,0,0,0
18,ALARK,0,0,0,0,0,0,0,0,0,0,0
19,ALCTL,0,0,0,0,0,0,0,0,0,0,0
20,ALKIM,0,0,0,0,0,0,0,0,0,0,0
21,ALKA,0,0,0,0,0,0,0,0,0,0,0
22,AYCES,0,0,0,0,0,0,0,0,0,0,0
23,ALMAD,0,0,0,0,0,0,0,0,0,0,0
24,AEFES,0,0,0,0,0,0,0,0,0,0,0
25,ASUZU,0,0,0,0,0,0,0,0,0,0,0
26,ANGEN,0,0,0,0,0,0,0,0,0,0,0
27,ANELE,0,0,0,0,0,0,0,0,0,0,0
28,ARCLK,0,0,0,0,0,0,0,0,0,0,0
29,ARDYZ,0,0,0,0,0,0,0,0,0,0,0
30,ARENA,0,0,0,0,0,0,0,0,0,0,0
31,ARSAN,0,0,0,0,0,0,0,0,0,0,0
32,ARZUM,0,0,0,0,0,0,0,0,0,0,0
33,ASELS,0,0,0,0,0,0,0,0,0,0,0
34,ATAGY,0,0,0,0,0,0,0,0,0,0,0
35,AGYO,0,0,0,0,0,0,0,0,0,0,0
36,ATSYH,0,0,0,0,0,0,0,0,0,0,0
37,ATLAS,0,0,0,0,0,0,0,0,0,0,0
38,ATATP,0,0,0,0,0,0,0,0,0,0,0
39,AVGYO,0,0,0,0,0,0,0,0,0,0,0
40,AVTUR,0,0,0,0,0,0,0,0,0,0,0
41,AVHOL,0,0,0,0,0,0,0,0,0,0,0
42,AYDEM,0,0,0,0,0,0,0,0,0,0,0
43,AYEN,0,0,0,0,0,0,0,0,0,0,0
44,AYES,0,0,0,0,0,0,0,0,0,0,0
45,AYGAZ,0,0,0,0,0,0,0,0,0,0,0
46,AZTEK,0,0,0,0,0,0,0,0,0,0,0
47,BAGFS,0,0,0,0,0,0,0,0,0,0,0
48,BAKAB,0,0,0,0,0,0,0,0,0,0,0
49,BALAT,0,0,0,0,0,0,0,0,0,0,0
50,BNTAS,0,0,0,0,0,0,0,0,0,0,0
51,BANVT,0,0,0,0,0,0,0,0,0,0,0
52,BASGZ,0,0,0,0,0,0,0,0,0,0,0
53,BASCM,0,0,0,0,0,0,0,0,0,0,0
54,BTCIM,0,0,0,0,0,0,0,0,0,0,0
55,BSOKE,0,0,0,0,0,0,0,0,0,0,0
56,BAYRK,0,0,0,0,0,0,0,0,0,0,0
57,BERA,0,0,0,0,0,0,0,0,0,0,0
58,BRKSN,0,0,0,0,0,0,0,0,0,0,0
59,BJKAS,0,0,0,0,0,0,0,0,0,0,0
60,BEYAZ,0,0,0,0,0,0,0,0,0,0,0
61,BLCYT,0,0,0,0,0,0,0,0,0,0,0
62,BIMAS,0,0,0,0,0,0,0,0,0,0,0
63,BRKO,0,0,0,0,0,0,0,0,0,0,0
64,BRLSM,0,0,0,0,0,0,0,0,0,0,0
65,BRMEN,0,0,0,0,0,0,0,0,0,0,0
66,BIZIM,0,0,0,0,0,0,0,0,0,0,0
